sample_id,query,gold_passage,original_negative,final_negative,original_quality,quality_reason,was_replaced,confidence,total_negatives
10,who is the actor in the trivago commercial,"The Trivago Guy, aka Tim Williams, the Houston-born actor and Berlin resident who stars in hotel-search site Trivagoâs TV commercials in North America, says heâs perplexed and amused about all the attention heâs getting from the TV spots, and heâs enjoying every minute of it. âBring it on, I love it,â Williams says.","He may be looking for a hotel after coming home at 3 a.m. to find that his wife changed the locks. These unusual ads have been attracting baffled notice for a while, but now is the season for big travel-industry ad buys, and the Trivago pitchman is, unlike the blades of his rotary shaver, in heavy rotation.","He may be looking for a hotel after coming home at 3 a.m. to find that his wife changed the locks. These unusual ads have been attracting baffled notice for a while, but now is the season for big travel-industry ad buys, and the Trivago pitchman is, unlike the blades of his rotary shaver, in heavy rotation.",True,Good hard negative,False,0.8,2
11,what day is labor day in september,"Labor Day: What it Means. Labor Day, the first Monday in September, is a creation of the labor movement and is dedicated to the social and economic achievements of American workers. It constitutes a yearly national tribute to the contributions workers have made to the strength, prosperity, and well-being of our country. Labor Day Legislation.","Upcoming dates of Grandparents Day. National Grandparents Day is celebrated on the first Sunday after Labor Day, annually. September 7, 2014. September 13, 2015. September 11, 2016. September 10, 2017. September 9, 2018. September 8, 2019.","Upcoming dates of Grandparents Day. National Grandparents Day is celebrated on the first Sunday after Labor Day, annually. September 7, 2014. September 13, 2015. September 11, 2016. September 10, 2017. September 9, 2018. September 8, 2019.",True,Good hard negative,False,0.8,2
12,how long does it take to cook tilapia,"Favorite fillets include catfish, salmon, grouper, red snapper, and tilapia. For fillets or steaks, use a ruler to measure the thickness of the fish before cooking, then bake, uncovered, in the preheated 450 degrees F oven for 4 to 6 minutes per 1/2-inch thickness of fish.",Related Pages. 1  how long does it take to cook a 20 lb turkey. 2  how long does it take to cook a baked potato. 3  how long does it take to cook a 2 pound beef roast. 4  how long does it take to smoke a pork sirloin roast. 5  how long does it take to cook a beef roast in crock pot. 6  how long does it take to cook a 3 pound pork loin roast.,Related Pages. 1  how long does it take to cook a 20 lb turkey. 2  how long does it take to cook a baked potato. 3  how long does it take to cook a 2 pound beef roast. 4  how long does it take to smoke a pork sirloin roast. 5  how long does it take to cook a beef roast in crock pot. 6  how long does it take to cook a 3 pound pork loin roast.,True,Good hard negative,False,0.8,2
13,what is the weather in belize in october,"Weather in October. Northerly breezes bring heavier rainfall, and October temperatures in Belize cool down to a monthly average of 79Â°F (26Â°C). Daytime highs of around 84Â°F (29Â°C) and lows of 75Â°F (24Â°C) are common, as are occasional ânorthersâ, two or three day storms often centred around the Maya Mountains.","It is safe to say that on average, the warmest month is May, the coolest month is January and the wettest month is October. Here is a chart that shows the average inches of rainfall for each month of the year. Now you can plan your vacation around the weather in Belize. The weather can vary from year to year, feel free to contact us with any questions that you may have before your trip.","It is safe to say that on average, the warmest month is May, the coolest month is January and the wettest month is October. Here is a chart that shows the average inches of rainfall for each month of the year. Now you can plan your vacation around the weather in Belize. The weather can vary from year to year, feel free to contact us with any questions that you may have before your trip.",True,Good hard negative,False,0.8,2
14,what hormone affects urine output,"Making the world better, one answer at a time. The 3 hormones that are produced to regulate urine are Aldosterone, AHD (antidiuretic hormone), and ANH (atrial natriuretic hormone). The Aldosterone is released when the blood pressure of the kidney is low.Aldosterones main purpose is to retain sodium and water or the reabsoption of salt.his hormone is released when the body is dehydrated. Overall the antidiuretic hormone cause the body to keep more water and urine volume decr â¦ eases.","High-sodium intake results in increased loss of calcium in the urine, possibly due to competition between sodium and calcium for reabsorption in the kidneys or by an effect of sodium on parathyroid hormone (PTH) secretion (see the article on Calcium).","High-sodium intake results in increased loss of calcium in the urine, possibly due to competition between sodium and calcium for reabsorption in the kidneys or by an effect of sodium on parathyroid hormone (PTH) secretion (see the article on Calcium).",True,Good hard negative,False,0.8,2
15,which act requires manufacturers to disclose the origins of their minerals?,"International efforts to reduce trade in conflict resources, tried to reduce incentives to extract and fight over them. For example, in the United States, the 2010 DoddâFrank Wall Street Reform and Consumer Protection Act required manufacturers to audit their supply chains and report use of conflict minerals. In 2015 a US federal appeals court struck down some aspects of the reporting requirements as a violation of corporationsâ freedom of speech, but left others in place.","Conflict Minerals: Frequently Asked Questions Huntington Ingalls Industries, Inc. (HII), through its subsidiaries, is required under federal law to annually report the presence and source of Conflict Minerals (presently designated as gold, tantalum, tin and tungsten) in the products it manufactures.","Conflict Minerals: Frequently Asked Questions Huntington Ingalls Industries, Inc. (HII), through its subsidiaries, is required under federal law to annually report the presence and source of Conflict Minerals (presently designated as gold, tantalum, tin and tungsten) in the products it manufactures.",True,Good hard negative,False,0.8,2
16,what is iwc,The International Whaling Commission (IWC) is the global intergovernmental body charged with the conservation of whales and the management of whaling. It is set up under the International Convention for the Regulation of Whaling signed in 1946. The Commission has a current membership of 89 Governments from countries around the World.,"The YWCA, or World YWCA, is a movement of women working for social and economic change around the world. It advocates for young womenâs leadership, peace, justice, human rights and sustainable development, both on a grassroots and global scale.","The YWCA, or World YWCA, is a movement of women working for social and economic change around the world. It advocates for young womenâs leadership, peace, justice, human rights and sustainable development, both on a grassroots and global scale.",True,Good hard negative,False,0.8,2
17,which are the types of fat in the stomach,"Whether you're an apple shape with excess belly fat, or a pear with wide hips and thighs, when you lose weight you'll most likely lose proportionately more from the abdominal region than elsewhere. The type of fat that is responsible for the â beer bellyâ shape is called visceral fat. Visceral fat (the fat surrounding your vital organs) is more metabolically active than subcutaneous fat (the fat just under your skin) so it tends to burn off quicker.","Fat is one of the three main macronutrients: fat, carbohydrate, and protein. Fats, also known as triglycerides, are esters of three fatty acid chains and the alcohol glycerol.The terms  oil , fat, and  lipid  are often confused.here are many different kinds of fats, but each is a variation on the same chemical structure. All fats are derivatives of fatty acids and glycerol. The fat molecules are called triglycerides (triesters of glycerol).","Fat is one of the three main macronutrients: fat, carbohydrate, and protein. Fats, also known as triglycerides, are esters of three fatty acid chains and the alcohol glycerol.The terms  oil , fat, and  lipid  are often confused.here are many different kinds of fats, but each is a variation on the same chemical structure. All fats are derivatives of fatty acids and glycerol. The fat molecules are called triglycerides (triesters of glycerol).",True,Good hard negative,False,0.8,2
18,how much does it cost to mulch,"Cost to Deliver Mulch. Mulch usually ranges in price from $10-$60 per cubic yard (27 square feet), not including delivery or spreading. 1  Rough wood chips fall on the low end of that range, while high-quality woods like cedar fall on the high end. 2  Most bark mulch and wood chips fall cost $20-$30 per cubic yard.","The cost of mulch   Basically, what you will need to do is convert cubic yards to cubic feet, determine the cost per cubic foot, and then multiply by two.   One cubi â¦ c yard is a volume equivalent to the space inside a box that is three feet wide, three feet high, and three feet deep.onfidence votes 35. Cost of 1 Yard of Mulch You can pay about $25 a yard to have the mulch deliverd and spread it yourself. normally landscapers charge the same amount to spread it as it costs to buy it. ex. one yard of black may cost 29$ plus 20$ to deliver-they would charge 49$ to spread it.","The cost of mulch   Basically, what you will need to do is convert cubic yards to cubic feet, determine the cost per cubic foot, and then multiply by two.   One cubi â¦ c yard is a volume equivalent to the space inside a box that is three feet wide, three feet high, and three feet deep.onfidence votes 35. Cost of 1 Yard of Mulch You can pay about $25 a yard to have the mulch deliverd and spread it yourself. normally landscapers charge the same amount to spread it as it costs to buy it. ex. one yard of black may cost 29$ plus 20$ to deliver-they would charge 49$ to spread it.",True,Good hard negative,False,0.8,2
19,what minimum standard is for temp silt fence,"Except for the ends, the difference in elevation between the highest and lowest point. along the top of the silt fence shall not exceed one-third the fence height. Posts should be spaced a maximum of 6 feet (1.9 m) apart and driven securely into the. ground a minimum of 30 inches (0.8 m).","Most building codes require a minimum of 4 in. (100 mm) of bearing. Considering all the building code dimensional requirements, the minimum wall thickness of a lined chimney to be used as a structural component is 10 in. (250 mm) consisting of: 1) 4-in. (100 mm) chimney wall (brick), 2) 2-in.(50 mm) of noncombustible material (brick), and 3) 4-in.(100 mm) bearing length (brick).ost building codes require a minimum of 4 in. (100 mm) of bearing. Considering all the building code dimensional requirements, the minimum wall thickness of a lined chimney to be used as a structural component is 10 in. (250 mm) consisting of: 1) 4-in. (100 mm) chimney wall (brick), 2) 2-in.","Most building codes require a minimum of 4 in. (100 mm) of bearing. Considering all the building code dimensional requirements, the minimum wall thickness of a lined chimney to be used as a structural component is 10 in. (250 mm) consisting of: 1) 4-in. (100 mm) chimney wall (brick), 2) 2-in.(50 mm) of noncombustible material (brick), and 3) 4-in.(100 mm) bearing length (brick).ost building codes require a minimum of 4 in. (100 mm) of bearing. Considering all the building code dimensional requirements, the minimum wall thickness of a lined chimney to be used as a structural component is 10 in. (250 mm) consisting of: 1) 4-in. (100 mm) chimney wall (brick), 2) 2-in.",True,Good hard negative,False,0.8,2
